module,tier,domain,maturity,coupling,disposition,version,layer,dependents,loc,files,tests,commits,last_commit,cdc_impact_cols,application,license,name_collision,summary,packs,tags,models_without_search,core_field_dupes
custom_affiliate,ee_gap,Sales / Rental / Service,C,GENERIC,DEFER,19.0.1.0.0,0,0,830,17,0,4,2026-07-29,2,True,LGPL-3,False,"Affiliate program: tracked links, click capture, order attribution, commission & payouts",,,custom.affiliate;custom.affiliate.click;custom.affiliate.conversion;custom.affiliate.link;custom.affiliate.payout,
custom_ai_bridge,core,Productivity & AI,B,GENERIC,ADOPT,19.0.0.2.0,1,15,484,15,0,15,2026-08-04,0,False,LGPL-3,False,Connects Odoo to the platform AI gateway (Claude / OpenAI / Ollama abstraction),,ai,,
custom_ai_features,ee_gap,Productivity & AI,C,GENERIC,DEFER,19.0.0.1.1,4,2,1302,23,0,6,2026-05-23,0,True,LGPL-3,False,"AI-driven assistance: Ask AI everywhere, anomaly inbox, NLQ chat, document auto-classify",,ai;anomaly-detection,ai.anomaly.scan;ai.nlq.message;ai.nlq.session,
custom_appointments,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.1.0,3,0,570,18,0,6,2026-05-28,0,True,LGPL-3,False,Public-facing booking + internal appointment calendar with resource availability,fnb;services,ai,appointment.booking;appointment.resource;appointment.type,
custom_approval_engine,ee_gap,Other,A,GENERIC,ADOPT,19.0.0.1.0,3,9,2593,40,5,11,2026-07-29,0,True,LGPL-3,False,"Generic multi-tier approval workflow with delegation, OOO, and SLA escalation",retail;drone_services;services;ppob,approval-workflow,approval.delegation;approval.matrix;approval.matrix.tier;approval.ooo;approval.request.line;purchase.order;sale.order,
custom_arka_aim_asset_register,_tenants,Finance & Accounting,C,CLIENT-COUPLED,ADAPT,19.0.2.0.0,6,0,7351,11,0,4,2026-08-04,0,False,LGPL-3,False,"Per-unit fixed-asset subledger for ARKA/AIM, built from the client's begbal sheet and reconciled to the 31-May-2026 opening-balance GL.",,ai,,
custom_arka_aim_numbering,_tenants,Platform & Ops,B,CLIENT-COUPLED,ADAPT,19.0.1.0.0,4,0,381,12,1,2,2026-07-09,2,False,LGPL-3,False,Per-company document numbering (SQ/SO/PO/INV/DO/BAST) with monthly reset for the ARKA-AIM tenant.,,ai;multi-tenant,,
custom_arka_aim_opening_balance,_tenants,Platform & Ops,C,CLIENT-COUPLED,ADAPT,19.0.2.0.0,0,0,613,10,0,6,2026-08-04,0,False,LGPL-3,False,Beginning balances for AIM & ARKA companies as of 31 May 2026.,,ai,,
custom_arka_aim_seed,_tenants,Platform & Ops,C,CLIENT-COUPLED,ADAPT,19.0.1.0.0,0,0,802,8,0,2,2026-06-02,0,False,LGPL-3,False,"Tenant-specific CoA, taxes, and fiscal positions for erp_dev_aimarka.",,ai;multi-tenant,,
custom_arka_fx_header,_tenants,Platform & Ops,C,CLIENT-COUPLED,ADAPT,19.0.1.1.0,0,0,343,8,0,2,2026-08-04,2,False,LGPL-3,False,"Show the foreign-currency total and the applied exchange rate in the invoice/bill header and in the Register Payment popup, for every accounting user.",,,,
custom_arka_show_date,_tenants,Platform & Ops,B,CLIENT-COUPLED,ADAPT,19.0.1.5.0,5,0,841,19,1,9,2026-08-05,7,False,LGPL-3,False,"Show-date, event and DP fields on quotation/SO/customer invoice, with payment terms anchored to the show date. PT ARKA only.",,,,
custom_asset_from_receipt,ee_gap,Finance & Accounting,C,GENERIC,DEFER,19.0.0.1.0,6,0,585,16,0,3,2026-07-29,6,False,LGPL-3,False,Bulk-convert received serial-numbered products into Fixed Assets + Rental Assets via a per-item picker wizard,,rental,,
custom_attendance,ee_gap,HR & People,B,GENERIC,ADOPT,19.0.0.2.0,4,0,1097,21,2,7,2026-07-29,0,True,LGPL-3,False,"Geofence check-in, kiosk portal, approval workflow, OT to payroll",,approval-workflow;attendance;indonesian-payroll;payroll,hr.attendance,
custom_bank_import,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.3.0,4,0,1939,21,1,9,2026-07-29,0,False,LGPL-3,False,CSV template-based bank statement import + H2H bank API adapter framework,,,custom.bank.h2h.connection;custom.bank.import.log;custom.bank.import.template,
custom_barcode,ee_gap,Inventory & Logistics,A,GENERIC,ADOPT,19.0.2.0.0,3,6,2682,32,3,10,2026-07-22,0,True,LGPL-3,False,EE-equivalent mobile-friendly barcode scan-in/scan-out for stock pickings (CE),,barcode-scan,custom.barcode.batch.session;custom.barcode.cluster.assignment;custom.barcode.cluster.run;custom.barcode.format;custom.barcode.scan.line;custom.label.template;custom.print.queue;custom.printer.config,
custom_bast,core,Sales / Rental / Service,A,GENERIC,ADOPT,19.0.0.2.0,3,6,798,18,1,19,2026-08-04,0,False,LGPL-3,False,Berita Acara Serah Terima — generic handover document with dual signatures and audit,,audit-trail,custom.bast.line,
custom_brd_analyzer,operations,Platform & Ops,A,GENERIC,ADOPT,19.0.0.5.0,5,3,5105,43,2,19,2026-08-04,0,True,LGPL-3,False,AI-powered Business Requirements Document gap analyzer for the platform module hub,,ai,brd.analysis;brd.document;brd.document.section;brd.recommendation;custom.module.capability.tag,
custom_core,core,Platform & Ops,A,GENERIC,ADOPT,19.0.0.2.0,0,103,821,19,1,13,2026-08-04,0,False,LGPL-3,False,"Shared utilities, mixins, and policy helpers for the Custom platform",,,,
custom_coretax,compliance,Indonesia Compliance,A,GENERIC,ADOPT,19.0.0.4.0,1,6,2324,39,1,20,2026-08-04,12,True,LGPL-3,False,"Indonesian Coretax DJP compliance: NSFP, e-Faktur XML export/import, Bukti Potong, Sertel storage",retail;fnb;drone_services;drone_rental;distrib;manufacturing;services;ppob,coretax;indonesian-tax,custom.coretax.config,
custom_coretax_bupot,compliance,Indonesia Compliance,A,GENERIC,ADOPT,19.0.0.2.0,3,2,977,20,1,12,2026-08-04,0,True,LGPL-3,False,Bukti Potong PPh Unifikasi (PPh 22 / 23 / 4(2) / 15 / 26) with XML export and DJP number upload per Coretax schema.,retail;services;ppob,coretax;indonesian-tax;withholding,custom.bupot.unifikasi.line,
custom_coretax_export,ee_gap,Indonesia Compliance,B,GENERIC,ADOPT,19.0.1.2.0,5,0,1121,10,2,4,2026-08-04,0,False,LGPL-3,False,"Emit DJP-conformant Coretax import workbooks: e-Faktur Keluaran (FK/OF), Retur Masukan, Bupot Unifikasi, Bupot PPh 21, Bupot Non-Resident",,coretax;indonesian-tax;withholding,,
custom_coretax_pajakku,ee_gap,Indonesia Compliance,B,GENERIC,ADOPT,19.0.0.1.0,3,1,1509,22,4,4,2026-05-23,0,False,LGPL-3,False,Host-to-host adapter for Pajakku (mitrapajakku) as an Authorized Service Provider Pajak,,coretax;indonesian-tax,custom.coretax.pajakku.usage,
custom_crm,ee_gap,Sales / Rental / Service,B,GENERIC,ADOPT,19.0.0.2.0,3,0,1046,19,3,7,2026-07-29,0,True,LGPL-3,False,"CRM EE-equivalent: lead mining, predictive scoring, enrichment, web-form intake, automation",,crm,,crm.lead.x_lead_mining_request_id~lead_mining_request_id
custom_currency_nbsp,core,Platform & Ops,C,GENERIC,DEFER,19.0.1.0.0,0,0,228,8,0,1,2026-08-04,0,False,LGPL-3,False,"Render money without non-breaking spaces and prepend a UTF-8 BOM to CSV exports, so amounts stop showing a stray 'Â'.",,,,
custom_dashboards,ee_gap,Productivity & AI,B,GENERIC,ADOPT,19.0.0.2.0,3,0,1372,22,2,7,2026-07-29,0,True,LGPL-3,False,Lightweight tile-based KPI dashboards with AI NLQ,,ai,,
custom_data_cleaning,ee_gap,Productivity & AI,B,GENERIC,ADOPT,19.0.0.2.0,3,0,1278,21,2,5,2026-06-11,0,True,LGPL-3,False,"CE-based data cleaning: deduplication rules and Indonesian format normalization (phone, NIK)",,,custom.dedup.candidate,
custom_dev_cycle,operations,Platform & Ops,B,CLIENT-COUPLED,ADAPT,19.0.1.0.0,9,0,1319,21,2,6,2026-07-29,0,False,LGPL-3,False,Full dev lifecycle tracking with GitHub/GitLab PR + CI webhook integration,,,dev.cycle;dev.cycle.deployment;dev.cycle.pr,
custom_documents,ee_gap,Productivity & AI,C,GENERIC,DEFER,19.0.0.1.0,3,4,416,14,0,6,2026-05-28,0,True,LGPL-3,False,"Document management with workspaces, tagging, versioning, and PDP-aware access",services,audit-trail;pdp,document.document;document.tag;document.version;document.workspace,
custom_ecommerce,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.2.0,4,1,658,14,0,4,2026-06-11,3,True,LGPL-3,False,"Indonesian courier registry (JNE, JNT, SiCepat, AnterAja, Pos) and Midtrans/Xendit checkout link via custom_payment_id",,ecommerce,custom.ecommerce.cart.abandonment,delivery.carrier.currency_id~currency_id
custom_elearning,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.2.0,4,0,807,17,0,5,2026-06-11,0,True,LGPL-3,False,"Extend website_slides with Indonesian certificates, cohorts, and appraisal integration",,ai,,
custom_email_marketing,ee_gap,Marketing & Web,B,GENERIC,ADOPT,19.0.0.2.0,4,0,1233,22,2,6,2026-08-04,0,True,LGPL-3,False,"Template gallery, A/B testing, and UU PDP-compliant unsubscribe on top of mass_mailing",,ai;audit-trail;marketing;pdp,,
custom_esb_connector,ee_gap,Inventory & Logistics,B,GENERIC,ADOPT,19.0.0.1.0,4,1,3366,44,5,1,2026-07-29,5,False,LGPL-3,False,"Integration engine for ESB Core / ESB OMS (esb.co.id F&B ERP): session-managed REST adapters, master-data mirror, stock snapshot and an idempotent document outbox",fnb,,custom.esb.branch;custom.esb.document.template;custom.esb.location;custom.esb.product.detail;custom.esb.purpose;custom.esb.session;custom.esb.supplier;custom.esb.sync.log,
custom_esg,ee_gap,Indonesia Compliance,C,GENERIC,DEFER,19.0.0.1.0,3,0,986,19,0,6,2026-07-29,0,True,LGPL-3,False,"Environmental, Social, Governance metrics for OJK POJK 51/2017 sustainability reporting",,ai,custom.esg.account.mapping;custom.esg.emission.factor;custom.esg.materiality,
custom_events,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.2.0,5,0,484,13,0,4,2026-06-11,0,True,LGPL-3,False,"Events CE extension: WhatsApp tickets w/ QR PNG, QR check-in URL, sponsors, tracks, post-event survey, capacity/waitlist",,ai;whatsapp,custom.event.sponsor,event.event.sponsor_count~sponsor_count;event.event.sponsor_ids~sponsor_ids
custom_expenses,ee_gap,HR & People,A,GENERIC,ADOPT,19.0.0.2.0,4,0,1520,20,3,10,2026-07-29,0,True,LGPL-3,False,"AI OCR receipt extraction, generic approval engine, PDP audit, expense reports, corporate cards, mileage tracking, reimbursement payments for hr.expense",,ai;approval-workflow;audit-trail;pdp,hr.expense,
custom_field_service,ee_gap,Sales / Rental / Service,C,GENERIC,DEFER,19.0.0.1.0,3,1,607,19,0,6,2026-05-28,0,True,LGPL-3,False,"Technician dispatch, on-site work orders, materials, signature capture",,,fsm.site;fsm.skill;fsm.technician;fsm.work.order;fsm.work.order.material,
custom_finance_budget,ee_gap,Finance & Accounting,C,GENERIC,DEFER,19.0.0.1.0,5,1,246,6,0,4,2026-07-29,0,False,LGPL-3,False,Cost budget per division/period (synced from SAP) with consumption check for Finance Portal submissions,,,finance.budget,
custom_finance_portal,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.1.0,4,3,2103,20,1,5,2026-07-29,0,True,LGPL-3,False,"Finance Portal engagement layer over SAP — Cash Advance, Reimbursement, Vendor Invoice, Travel settlement with Tax/Finance approval (no native GL posting)",,approval-workflow,finance.cash.advance.line;finance.cash.advance.realization;finance.cash.advance.realization.line;finance.invoice.routine.type;finance.invoice.type;finance.item.submission;finance.limitation;finance.reimbursement;finance.reimbursement.line;finance.submission.type;finance.travel.settlement;finance.vendor.invoice.line;finance.vertical,
custom_finance_portal_sap,ee_gap,Finance & Accounting,C,GENERIC,DEFER,19.0.0.1.0,6,0,708,12,0,3,2026-07-29,0,False,LGPL-3,False,"Bridge adapter, async push, master-data sync, status webhook and sync log connecting the Finance Portal to SAP & HRIS via the Kafka bridge microservice",,,,
custom_finance_portal_sso,ee_gap,Finance & Accounting,C,GENERIC,DEFER,19.0.0.1.0,5,0,148,6,0,1,2026-07-03,0,False,LGPL-3,False,Keycloak SSO login + role→group mapping (employee vs vendor) for the Finance Portal,,,,
custom_fleet_id,ee_gap,Other,B,GENERIC,ADOPT,19.0.0.2.0,3,0,1392,18,2,5,2026-06-11,0,True,LGPL-3,False,"Indonesia fleet localization: STNK & KIR reminders, BBM tracking, driver assignment with PDP audit",,audit-trail;fleet;pdp,,
custom_fnb_stock_ops,verticals,Inventory & Logistics,B,GENERIC,ADOPT,19.0.0.1.0,5,0,3198,25,4,2,2026-07-29,0,False,LGPL-3,False,"Stock opname, demand forecasting and auto replenishment for F&B outlets running on ESB Core",fnb,,custom.fnb.replenishment.proposal.line;custom.fnb.replenishment.rule,
custom_forum,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.1.0,3,0,629,14,0,7,2026-07-29,1,True,LGPL-3,False,"Website Forum extensions: AI moderation, gamification, PDP author masking",,ai;audit-trail;pdp,custom.forum.trending.topic,
custom_frontdesk,ee_gap,HR & People,C,GENERIC,DEFER,19.0.0.1.0,5,0,661,13,0,4,2026-06-11,0,True,LGPL-3,False,Visitor management with host notification and PDP audit,,audit-trail;pdp,custom.frontdesk.station,
custom_helpdesk,ee_gap,Sales / Rental / Service,C,GENERIC,DEFER,19.0.0.1.0,3,3,723,19,0,7,2026-07-29,0,True,LGPL-3,False,"Ticket pipeline with SLA, escalation and customer portal",services,helpdesk,helpdesk.sla;helpdesk.tag;helpdesk.team,
custom_hht_bridge,core,Inventory & Logistics,A,GENERIC,ADOPT,19.0.0.2.0,4,1,3207,39,1,13,2026-08-04,0,True,LGPL-3,False,Handheld Terminal bridge: PWA shell + secure REST API + offline sync (Zebra/DataWedge),distrib,hht,,
custom_home_console,core,Productivity & AI,C,GENERIC,DEFER,19.0.1.0.0,1,1,1645,329,0,2,2026-06-02,6,False,LGPL-3,False,"Spotlight-style home landing: grouped app cards, search, shortcuts, branding",,,,
custom_hr_appraisal,ee_gap,HR & People,C,GENERIC,DEFER,19.0.0.1.0,3,2,461,16,0,5,2026-05-28,0,True,LGPL-3,False,"Performance reviews with templates, 360 feedback, and competency scoring",,ai,appraisal.appraisal;appraisal.cycle;appraisal.line;appraisal.template;appraisal.template.item,
custom_hr_leave_id,ee_gap,HR & People,B,GENERIC,ADOPT,19.0.0.2.0,4,0,1295,27,2,7,2026-07-29,0,True,LGPL-3,False,"Indonesian localization for HR Time Off (UU Cipta Kerja, cuti haid, public holidays, carry-over)",,ai,hr.leave,
custom_hr_payroll_id,ee_gap,HR & People,B,GENERIC,ADOPT,19.0.0.1.0,3,5,2735,34,4,9,2026-08-04,0,True,LGPL-3,False,"PPh 21 TER + Annual progressive, BPJS Kes/TK, PTKP, THR, SPT 1721 A1",,indonesian-payroll;indonesian-tax;payroll;withholding,hr.payroll.config;hr.payslip.line,
custom_hr_referral,ee_gap,HR & People,C,GENERIC,DEFER,19.0.0.1.0,3,0,364,14,0,5,2026-05-28,0,True,LGPL-3,False,Employee referral program with candidate tracking + reward ledger,,,referral.candidate;referral.position;referral.reward,
custom_hr_sso_keycloak,ee_gap,HR & People,B,GENERIC,ADOPT,19.0.0.1.0,1,0,599,13,2,4,2026-07-09,0,False,LGPL-3,False,"Keycloak SSO on Odoo auth_oauth; links & syncs hr.employee from claims + HC API, per-tenant, non-blocking",,ai;multi-tenant,,
custom_hub_console,control_plane,Platform & Ops,B,GENERIC,ADOPT,19.0.0.2.0,6,1,3674,39,2,6,2026-08-04,0,True,LGPL-3,False,"Unified hub: tenants, modules, monitoring, BRD, HHT, AI, audit",,ai;audit-trail;hht;multi-tenant,,
custom_intercompany_procurement,ee_gap,Inventory & Logistics,C,GENERIC,DEFER,19.0.0.1.0,5,0,673,11,0,7,2026-07-29,5,False,LGPL-3,False,Auto-mirror purchase.order + stock.picking antar sister company (Erajaya group pattern),,accounting;intercompany,purchase.order;stock.picking,
custom_iot_bridge,ee_gap,Platform & Ops,C,GENERIC,DEFER,19.0.0.1.0,3,1,457,16,0,5,2026-05-28,0,True,LGPL-3,False,Ingest sensor/device readings via webhook; surface in dashboards + threshold alerts,,iot,iot.device;iot.threshold,
custom_knowledge,ee_gap,Productivity & AI,B,GENERIC,ADOPT,19.0.0.2.0,4,0,1295,25,2,6,2026-06-11,0,True,LGPL-3,False,Lightweight internal wiki / knowledge base,,knowledge,knowledge.article.version;knowledge.tag,
custom_levis_asset_accounts,_tenants,Finance & Accounting,C,CLIENT-COUPLED,ADAPT,19.0.2.0.0,6,0,239,6,0,3,2026-07-09,0,False,LGPL-3,False,Seed the 6 EBR fixed-asset categories and wire IAS 16 revaluation account defaults onto fixed-asset groups by resolving Erajaya chart codes per company.,,,,
custom_levis_categ_approval,_tenants,Finance & Accounting,B,CLIENT-COUPLED,ADAPT,19.0.1.0.0,4,0,1008,14,1,2,2026-08-04,0,False,LGPL-3,False,Block silent product-category changes and route them through Finance approval,,approval-workflow,levis.categ.reclass,
custom_levis_localization,_tenants,Platform & Ops,A,CLIENT-COUPLED,ADAPT,19.0.1.24.0,3,2,7069,61,3,40,2026-08-04,7,False,LGPL-3,False,"Levi's tenant customisations: HS Code, receipt qty cap, no inventory GL at goods receipt, payment voucher/receipt, journal billing, multi-COA admin fees on payment.",,multi-tenant,custom.scrap.batch.line;levis.categ.reclass;levis.categ.reclass.line;levis.categ.reclass.product;levis.cogs.run;levis.cogs.run.line;levis.inventory.reconciliation;levis.inventory.reconciliation.line;levis.mdr.bin;levis.purchase.account.map,
custom_levis_sales_dashboard,_tenants,Sales / Rental / Service,C,CLIENT-COUPLED,ADAPT,19.0.1.0.0,4,0,3154,14,0,0,,0,True,LGPL-3,False,"Interactive retail sales dashboard, analysis view and store targets over the imported X24DN POS data",,ai,,
custom_livechat,ee_gap,Marketing & Web,B,GENERIC,ADOPT,19.0.0.2.0,4,0,1287,22,2,7,2026-08-04,0,True,LGPL-3,False,"Escalate chat to helpdesk, canned responses, chatbot scripts, skill routing, AI suggested reply, visitor ratings",,ai;helpdesk,custom.livechat.chatbot.step,
custom_lunch,ee_gap,HR & People,C,GENERIC,DEFER,19.0.0.2.0,4,0,531,15,0,5,2026-06-11,0,True,LGPL-3,False,"EE-equivalent lunch: live GoFood/GrabFood/ShopeeFood links, real payroll deduction, halal badge, spice filters, daily auto-publish, weekly calorie report",,ai;indonesian-payroll;payroll,,
custom_maintenance,ee_gap,Sales / Rental / Service,B,GENERIC,ADOPT,19.0.0.2.0,4,2,1147,19,2,7,2026-07-29,0,True,LGPL-3,False,"IoT alerts, MTBF/MTTR, predictive scheduling, SLA, spare parts and cost tracking",,ai;iot,maintenance.equipment;maintenance.request,
custom_marketing_automation,ee_gap,Marketing & Web,C,GENERIC,DEFER,19.0.0.1.0,4,0,496,16,0,6,2026-05-28,0,True,LGPL-3,False,Multi-step email campaigns + drip sequences + audience segmentation,,ai;marketing,marketing.campaign;marketing.campaign.step;marketing.participant;marketing.segment,
custom_mrp_plm,ee_gap,Sales / Rental / Service,C,GENERIC,DEFER,19.0.0.1.0,3,0,336,13,0,6,2026-05-28,0,True,LGPL-3,False,"Product Lifecycle Management: ECO workflow, BoM versioning, approval-gated changes",,approval-workflow;manufacturing;plm,mrp.eco;mrp.eco.stage,
custom_onboarding_journey,control_plane,Platform & Ops,B,GENERIC,ADOPT,19.0.1.0.0,8,1,2036,31,2,3,2026-07-29,0,True,LGPL-3,False,"Lifecycle orchestrator: intake -> BRD -> Go/No-Go -> provisioning -> handover, with bi-directional Project sync",,,onboarding.journey;onboarding.public.submission;onboarding.stage.transition,
custom_ops_monitor,operations,Platform & Ops,B,GENERIC,ADOPT,19.0.0.1.0,3,2,1458,23,1,7,2026-07-29,0,True,LGPL-3,False,Server health + capacity forecast UI for multi-tenant operations,,multi-tenant,custom.ops.capacity.forecast;custom.ops.incident,
custom_ops_reports,ee_gap,Other,C,GENERIC,DEFER,19.0.0.1.0,6,0,1012,22,0,1,2026-07-17,0,False,LGPL-3,False,"Operational reports for the AIM drone fleet — asset opname, event movement, spare parts, maintenance health, repair history.",,ai;fleet,,
custom_payment_admin_fee,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.1.1.0,0,0,446,9,1,1,2026-08-04,0,False,LGPL-3,False,Multi-COA admin/bank fee lines on the Register Payment wizard.,,,,
custom_payment_id,ee_gap,Finance & Accounting,C,GENERIC,DEFER,19.0.0.1.0,3,3,1728,20,0,8,2026-08-04,0,True,LGPL-3,False,Midtrans / Xendit / DOKU adapters for payment.provider,,,,payment.provider.code~code
custom_pdp_audit,compliance,Indonesia Compliance,B,GENERIC,ADOPT,19.0.0.3.0,2,77,578,18,0,15,2026-08-04,0,False,LGPL-3,False,Append-only hash-chained audit log (UU 27/2022),,ai;audit-trail;pdp,res.partner;res.users,
custom_pdp_consent,compliance,Indonesia Compliance,B,GENERIC,ADOPT,19.0.0.2.0,3,5,517,17,0,10,2026-08-04,0,False,LGPL-3,False,Consent management with audited grant/withdraw (UU 27/2022),,audit-trail;pdp,pdp.consent.purpose,
custom_pdp_core,compliance,Indonesia Compliance,B,GENERIC,CONFLICT,19.0.0.2.0,1,20,500,18,0,10,2026-08-04,0,False,LGPL-3,True,PDP data classification taxonomy (UU 27/2022),,audit-trail;pdp,,
custom_pdp_dsar,compliance,Indonesia Compliance,C,GENERIC,DEFER,19.0.0.2.0,3,0,504,13,0,8,2026-08-04,0,False,LGPL-3,False,Data Subject Access Requests under UU 27/2022,,audit-trail;pdp,,
custom_pdp_masking,compliance,Indonesia Compliance,A,GENERIC,CONFLICT,19.0.0.3.0,5,0,1549,29,1,15,2026-08-04,0,False,LGPL-3,True,PII masking service & ORM read hook (UU 27/2022),,audit-trail;pdp,res.partner,
custom_pdp_retention,compliance,Indonesia Compliance,C,GENERIC,DEFER,19.0.0.2.0,3,1,355,13,0,9,2026-08-04,0,False,LGPL-3,False,Data retention policies & lifecycle automation (UU 27/2022),,audit-trail;pdp,pdp.retention.policy,
custom_petty_cash,ee_gap,Finance & Accounting,B,GENERIC,ADOPT,19.0.0.4.0,5,0,2696,34,1,6,2026-08-04,6,True,LGPL-3,False,"Employee petty cash advances: request, Finance approval, Bank-Out disbursement, realization (third-party vendor bill or plain expense), return/top-up settlement, plus outstanding & aging monitoring.",,ai;approval-workflow,petty.cash.realization.line;petty.cash.request.line,
custom_planning,ee_gap,HR & People,C,GENERIC,DEFER,19.0.0.1.0,3,0,279,12,0,5,2026-05-28,0,True,LGPL-3,False,Resource planning + shift scheduling for SMB teams,manufacturing,,planning.role;planning.slot,
custom_po_return,ee_gap,Inventory & Logistics,B,GENERIC,ADOPT,19.0.0.1.0,0,0,1072,14,1,5,2026-08-04,0,False,LGPL-3,False,Quantity-driven vendor returns with FIFO allocation across POs/GRs and auto credit notes,,,custom.po.return.allocation;custom.po.return.line,
custom_pos_id,ee_gap,Sales / Rental / Service,C,GENERIC,DEFER,19.0.0.1.0,5,0,705,14,0,4,2026-06-11,6,True,LGPL-3,False,"Indonesia POS localization: QRIS, rupiah rounding, WhatsApp/SMS e-receipt",retail;fnb,whatsapp,,
custom_pph_witholding,compliance,Indonesia Compliance,B,GENERIC,ADOPT,19.0.0.2.0,4,2,991,22,1,9,2026-08-04,0,False,LGPL-3,False,Generic PPh witholding engine (rates registry + computation + application log) for Indonesian Income Tax.,ppob,indonesian-tax;withholding,custom.witholding.application;custom.witholding.rate,
custom_ppob_biller_digiflazz,verticals,PPOB,B,GENERIC,ADOPT,19.0.1.0.0,6,0,1509,11,1,5,2026-08-04,0,False,LGPL-3,False,"Digiflazz H2H provider adapter (prepaid topup, postpaid inquiry and payment) with MD5 signing and ref_id idempotency.",,ai;ppob,,
custom_ppob_commission,verticals,PPOB,C,GENERIC,DEFER,19.0.1.0.0,6,0,656,13,0,2,2026-07-17,0,False,LGPL-3,False,Two-way PPOB commissions: provider->us income and us->mitra rebate with PPh 23 withholding via the platform engine.,ppob,indonesian-tax;ppob;withholding,custom.ppob.commission.rule,
