id,model_name,field_name,pdp_class,legal_basis,notes,drop_to_null
pdp_account_move__incoterm_location,account.move,incoterm_location,internal,Not personal data - business record,,False
pdp_account_move__invoice_cash_rounding_id,account.move,invoice_cash_rounding_id,internal,Not personal data - business record,,False
pdp_account_move__invoice_currency_rate,account.move,invoice_currency_rate,internal,Not personal data - business record,,False
pdp_account_move__invoice_date,account.move,invoice_date,internal,Not personal data - business record,,False
pdp_account_move__invoice_date_due,account.move,invoice_date_due,internal,Not personal data - business record,,False
pdp_account_move__invoice_incoterm_id,account.move,invoice_incoterm_id,internal,Not personal data - business record,,False
pdp_account_move__invoice_origin,account.move,invoice_origin,internal,Not personal data - business record,,False
pdp_account_move__invoice_partner_display_name,account.move,invoice_partner_display_name,personal,UU 27/2022 Art. 4(2) - data pribadi umum,Direct identifier of a natural person; hashed at load so joins survive.,False
pdp_account_move__invoice_payment_term_id,account.move,invoice_payment_term_id,internal,Not personal data - business record,,False
pdp_account_move__invoice_source_email,account.move,invoice_source_email,personal,UU 27/2022 Art. 4(2) - data pribadi umum,Direct identifier of a natural person; hashed at load so joins survive.,False
pdp_account_move__invoice_user_id,account.move,invoice_user_id,internal,Not personal data - business record,,False
pdp_account_move__is_manually_modified,account.move,is_manually_modified,internal,Not personal data - business record,,False
pdp_account_move__is_move_sent,account.move,is_move_sent,internal,Not personal data - business record,,False
pdp_account_move__journal_id,account.move,journal_id,internal,Not personal data - business record,,False
pdp_account_move__l10n_ou_analytic_id,account.move,l10n_ou_analytic_id,internal,Not personal data - business record,,False
pdp_account_move__l10n_purchase_type,account.move,l10n_purchase_type,internal,Not personal data - business record,,False
pdp_account_move__made_sequence_gap,account.move,made_sequence_gap,internal,Not personal data - business record,,False
pdp_account_move__medium_id,account.move,medium_id,internal,Not personal data - business record,,False
pdp_account_move__message_main_attachment_id,account.move,message_main_attachment_id,internal,Not personal data - business record,,False
pdp_account_move__move_type,account.move,move_type,internal,Not personal data - business record,,False
pdp_account_move__name,account.move,name,internal,Not personal data - business record,,False
pdp_account_move__narration,account.move,narration,sensitive,UU 27/2022 Art. 4(3) - data pribadi spesifik,Free text - may contain any category of personal data; dropped to NULL at load.,True
pdp_account_move__operating_unit_id,account.move,operating_unit_id,internal,Not personal data - business record,,False
pdp_account_move__origin_payment_id,account.move,origin_payment_id,internal,Not personal data - business record,,False
pdp_account_move__partner_bank_id,account.move,partner_bank_id,internal,Not personal data - business record,,False
pdp_account_move__partner_id,account.move,partner_id,internal,Not personal data - business record,,False
pdp_account_move__partner_shipping_id,account.move,partner_shipping_id,internal,Not personal data - business record,,False
pdp_account_move__payment_reference,account.move,payment_reference,internal,Not personal data - business record,,False
pdp_account_move__payment_state,account.move,payment_state,internal,Not personal data - business record,,False
pdp_account_move__petty_cash_realization_id,account.move,petty_cash_realization_id,internal,Not personal data - business record,,False
pdp_account_move__petty_cash_request_id,account.move,petty_cash_request_id,internal,Not personal data - business record,,False
pdp_account_move__posted_before,account.move,posted_before,internal,Not personal data - business record,,False
pdp_account_move__preferred_payment_method_line_id,account.move,preferred_payment_method_line_id,internal,Not personal data - business record,,False
pdp_account_move__qr_code_method,account.move,qr_code_method,internal,Not personal data - business record,,False
pdp_account_move__quick_edit_total_amount,account.move,quick_edit_total_amount,internal,Not personal data - business record,,False
pdp_account_move__ref,account.move,ref,internal,Not personal data - business record,,False
pdp_account_move__retail_categ_reclass_id,account.move,retail_categ_reclass_id,internal,Not personal data - business record,,False
pdp_account_move__reversed_entry_id,account.move,reversed_entry_id,internal,Not personal data - business record,,False
pdp_account_move__reversed_pos_order_id,account.move,reversed_pos_order_id,internal,Not personal data - business record,,False
pdp_account_move__secure_sequence_number,account.move,secure_sequence_number,internal,Not personal data - business record,,False
pdp_account_move__sending_data,account.move,sending_data,internal,Not personal data - business record,,False
pdp_account_move__sequence_number,account.move,sequence_number,internal,Not personal data - business record,,False
pdp_account_move__sequence_prefix,account.move,sequence_prefix,internal,Not personal data - business record,,False
pdp_account_move__source_id,account.move,source_id,internal,Not personal data - business record,,False
pdp_account_move__state,account.move,state,internal,Not personal data - business record,,False
pdp_account_move__statement_line_id,account.move,statement_line_id,internal,Not personal data - business record,,False
pdp_account_move__tax_cash_basis_origin_move_id,account.move,tax_cash_basis_origin_move_id,internal,Not personal data - business record,,False
pdp_account_move__tax_cash_basis_rec_id,account.move,tax_cash_basis_rec_id,internal,Not personal data - business record,,False
pdp_account_move__taxable_supply_date,account.move,taxable_supply_date,internal,Not personal data - business record,,False
pdp_account_move__team_id,account.move,team_id,internal,Not personal data - business record,,False
pdp_account_move__website_id,account.move,website_id,internal,Not personal data - business record,,False
pdp_account_move__write_date,account.move,write_date,internal,Not personal data - business record,,False
pdp_account_move__write_uid,account.move,write_uid,internal,Not personal data - business record,,False
pdp_account_move__x_custom_approval_request_id,account.move,x_custom_approval_request_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_approval_state,account.move,x_custom_approval_state,internal,Not personal data - business record,,False
pdp_account_move__x_custom_coretax_kode_status,account.move,x_custom_coretax_kode_status,internal,Not personal data - business record,,False
pdp_account_move__x_custom_coretax_replaced_by_id,account.move,x_custom_coretax_replaced_by_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_coretax_replacement_of_id,account.move,x_custom_coretax_replacement_of_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_coretax_response_attach_id,account.move,x_custom_coretax_response_attach_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_coretax_status,account.move,x_custom_coretax_status,internal,Not personal data - business record,,False
pdp_account_move__x_custom_coretax_status_code,account.move,x_custom_coretax_status_code,internal,Not personal data - business record,,False
pdp_account_move__x_custom_coretax_submission_uuid,account.move,x_custom_coretax_submission_uuid,internal,Not personal data - business record,,False
pdp_account_move__x_custom_has_bukti_potong,account.move,x_custom_has_bukti_potong,internal,Not personal data - business record,,False
pdp_account_move__x_custom_has_faktur_pajak,account.move,x_custom_has_faktur_pajak,internal,Not personal data - business record,,False
pdp_account_move__x_custom_ic_mirror_id,account.move,x_custom_ic_mirror_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_ic_rule_id,account.move,x_custom_ic_rule_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_ic_source_id,account.move,x_custom_ic_source_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_no_bukti_potong,account.move,x_custom_no_bukti_potong,internal,Not personal data - business record,,False
pdp_account_move__x_custom_nsfp,account.move,x_custom_nsfp,internal,Not personal data - business record,,False
pdp_account_move__x_custom_ppob_bucket_id,account.move,x_custom_ppob_bucket_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_ppob_dp_bill_id,account.move,x_custom_ppob_dp_bill_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_ppob_dp_role,account.move,x_custom_ppob_dp_role,internal,Not personal data - business record,,False
pdp_account_move__x_custom_ppob_is_summary,account.move,x_custom_ppob_is_summary,internal,Not personal data - business record,,False
pdp_account_move__x_custom_ppob_pelunasan_bill_id,account.move,x_custom_ppob_pelunasan_bill_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_ppob_topup_log_id,account.move,x_custom_ppob_topup_log_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_show_date,account.move,x_custom_show_date,internal,Not personal data - business record,,False
pdp_account_move__x_custom_subscription_id,account.move,x_custom_subscription_id,internal,Not personal data - business record,,False
pdp_account_move__x_custom_tanggal_bukti_potong,account.move,x_custom_tanggal_bukti_potong,internal,Not personal data - business record,,False
pdp_account_move__x_custom_tanggal_faktur_pajak,account.move,x_custom_tanggal_faktur_pajak,internal,Not personal data - business record,,False
pdp_account_move__x_custom_total_withheld,account.move,x_custom_total_withheld,internal,Not personal data - business record,,False
pdp_account_move__x_custom_withholding_move_id,account.move,x_custom_withholding_move_id,internal,Not personal data - business record,,False
pdp_account_move_line__account_id,account.move.line,account_id,internal,Not personal data - business record,,False
pdp_account_move_line__amount_currency,account.move.line,amount_currency,internal,Not personal data - business record,,False
pdp_account_move_line__amount_residual,account.move.line,amount_residual,internal,Not personal data - business record,,False
pdp_account_move_line__amount_residual_currency,account.move.line,amount_residual_currency,internal,Not personal data - business record,,False
pdp_account_move_line__analytic_distribution,account.move.line,analytic_distribution,internal,Not personal data - business record,,False
pdp_account_move_line__balance,account.move.line,balance,internal,Not personal data - business record,,False
pdp_account_move_line__cogs_origin_id,account.move.line,cogs_origin_id,internal,Not personal data - business record,,False
pdp_account_move_line__collapse_composition,account.move.line,collapse_composition,internal,Not personal data - business record,,False
pdp_account_move_line__collapse_prices,account.move.line,collapse_prices,internal,Not personal data - business record,,False
pdp_account_move_line__company_currency_id,account.move.line,company_currency_id,internal,Not personal data - business record,,False
pdp_account_move_line__company_id,account.move.line,company_id,internal,Not personal data - business record,,False
pdp_account_move_line__create_date,account.move.line,create_date,internal,Not personal data - business record,,False
pdp_account_move_line__create_uid,account.move.line,create_uid,internal,Not personal data - business record,,False
pdp_account_move_line__credit,account.move.line,credit,internal,Not personal data - business record,,False
pdp_account_move_line__currency_id,account.move.line,currency_id,internal,Not personal data - business record,,False
pdp_account_move_line__date,account.move.line,date,internal,Not personal data - business record,,False
pdp_account_move_line__date_maturity,account.move.line,date_maturity,internal,Not personal data - business record,,False
pdp_account_move_line__debit,account.move.line,debit,internal,Not personal data - business record,,False
pdp_account_move_line__deductible_amount,account.move.line,deductible_amount,internal,Not personal data - business record,,False
pdp_account_move_line__deferred_end_date,account.move.line,deferred_end_date,internal,Not personal data - business record,,False
pdp_account_move_line__deferred_start_date,account.move.line,deferred_start_date,internal,Not personal data - business record,,False
pdp_account_move_line__discount,account.move.line,discount,internal,Not personal data - business record,,False
pdp_account_move_line__discount_amount_currency,account.move.line,discount_amount_currency,internal,Not personal data - business record,,False
pdp_account_move_line__discount_balance,account.move.line,discount_balance,internal,Not personal data - business record,,False
pdp_account_move_line__discount_date,account.move.line,discount_date,internal,Not personal data - business record,,False
pdp_account_move_line__display_type,account.move.line,display_type,internal,Not personal data - business record,,False
pdp_account_move_line__expense_id,account.move.line,expense_id,internal,Not personal data - business record,,False
pdp_account_move_line__extra_tax_data,account.move.line,extra_tax_data,internal,Not personal data - business record,,False
pdp_account_move_line__full_reconcile_id,account.move.line,full_reconcile_id,internal,Not personal data - business record,,False
pdp_account_move_line__group_tax_id,account.move.line,group_tax_id,internal,Not personal data - business record,,False
pdp_account_move_line__id,account.move.line,id,internal,Not personal data - business record,,False
pdp_account_move_line__invoice_date,account.move.line,invoice_date,internal,Not personal data - business record,,False
pdp_account_move_line__is_downpayment,account.move.line,is_downpayment,internal,Not personal data - business record,,False
pdp_account_move_line__is_imported,account.move.line,is_imported,internal,Not personal data - business record,,False
pdp_account_move_line__is_storno,account.move.line,is_storno,internal,Not personal data - business record,,False
pdp_account_move_line__journal_id,account.move.line,journal_id,internal,Not personal data - business record,,False
pdp_account_move_line__l10n_ou_analytic_id,account.move.line,l10n_ou_analytic_id,internal,Not personal data - business record,,False
pdp_account_move_line__matching_number,account.move.line,matching_number,internal,Not personal data - business record,,False
pdp_account_move_line__move_id,account.move.line,move_id,internal,Not personal data - business record,,False
pdp_account_move_line__move_name,account.move.line,move_name,internal,Not personal data - business record,,False
pdp_account_move_line__name,account.move.line,name,internal,Not personal data - business record,,False
pdp_account_move_line__no_followup,account.move.line,no_followup,internal,Not personal data - business record,,False
pdp_account_move_line__parent_state,account.move.line,parent_state,internal,Not personal data - business record,,False
pdp_account_move_line__partner_id,account.move.line,partner_id,internal,Not personal data - business record,,False
pdp_account_move_line__payment_id,account.move.line,payment_id,internal,Not personal data - business record,,False
pdp_account_move_line__price_subtotal,account.move.line,price_subtotal,internal,Not personal data - business record,,False
pdp_account_move_line__price_total,account.move.line,price_total,internal,Not personal data - business record,,False
pdp_account_move_line__price_unit,account.move.line,price_unit,internal,Not personal data - business record,,False
pdp_account_move_line__product_id,account.move.line,product_id,internal,Not personal data - business record,,False
pdp_account_move_line__product_uom_id,account.move.line,product_uom_id,internal,Not personal data - business record,,False
pdp_account_move_line__purchase_line_id,account.move.line,purchase_line_id,internal,Not personal data - business record,,False
pdp_account_move_line__quantity,account.move.line,quantity,internal,Not personal data - business record,,False
pdp_account_move_line__reconcile_model_id,account.move.line,reconcile_model_id,internal,Not personal data - business record,,False
pdp_account_move_line__reconciled,account.move.line,reconciled,internal,Not personal data - business record,,False
pdp_account_move_line__ref,account.move.line,ref,internal,Not personal data - business record,,False
pdp_account_move_line__sequence,account.move.line,sequence,internal,Not personal data - business record,,False
pdp_account_move_line__statement_id,account.move.line,statement_id,internal,Not personal data - business record,,False
pdp_account_move_line__statement_line_id,account.move.line,statement_line_id,internal,Not personal data - business record,,False
pdp_account_move_line__tax_base_amount,account.move.line,tax_base_amount,internal,Not personal data - business record,,False
pdp_account_move_line__tax_group_id,account.move.line,tax_group_id,internal,Not personal data - business record,,False
pdp_account_move_line__tax_line_id,account.move.line,tax_line_id,internal,Not personal data - business record,,False
pdp_account_move_line__tax_repartition_line_id,account.move.line,tax_repartition_line_id,internal,Not personal data - business record,,False
pdp_account_move_line__vehicle_id,account.move.line,vehicle_id,internal,Not personal data - business record,,False
pdp_account_move_line__write_date,account.move.line,write_date,internal,Not personal data - business record,,False
pdp_account_move_line__write_uid,account.move.line,write_uid,internal,Not personal data - business record,,False
pdp_account_move_line__x_custom_tax_label,account.move.line,x_custom_tax_label,internal,Not personal data - business record,,False
pdp_account_move_line__x_custom_withholding_category_id,account.move.line,x_custom_withholding_category_id,internal,Not personal data - business record,,False
pdp_operating_unit__active,operating.unit,active,internal,Not personal data - business record,,False
pdp_operating_unit__code,operating.unit,code,internal,Not personal data - business record,,False
pdp_operating_unit__company_id,operating.unit,company_id,internal,Not personal data - business record,,False
pdp_operating_unit__complete_name,operating.unit,complete_name,internal,Not personal data - business record,,False
pdp_operating_unit__create_date,operating.unit,create_date,internal,Not personal data - business record,,False
pdp_operating_unit__create_uid,operating.unit,create_uid,internal,Not personal data - business record,,False
pdp_operating_unit__id,operating.unit,id,internal,Not personal data - business record,,False
pdp_operating_unit__manager_id,operating.unit,manager_id,internal,Not personal data - business record,,False
pdp_operating_unit__name,operating.unit,name,internal,Not personal data - business record,,False
pdp_operating_unit__parent_id,operating.unit,parent_id,internal,Not personal data - business record,,False
pdp_operating_unit__parent_path,operating.unit,parent_path,internal,Not personal data - business record,,False
pdp_operating_unit__write_date,operating.unit,write_date,internal,Not personal data - business record,,False
pdp_operating_unit__write_uid,operating.unit,write_uid,internal,Not personal data - business record,,False
pdp_pos_order__access_token,pos.order,access_token,secret,UU 27/2022 Art. 35 - kewajiban pelindungan; credential material,Credential or key material; never named in the extraction SELECT list.,False
pdp_pos_order__account_move,pos.order,account_move,internal,Not personal data - business record,,False
pdp_pos_order__amount_difference,pos.order,amount_difference,internal,Not personal data - business record,,False
pdp_pos_order__amount_paid,pos.order,amount_paid,internal,Not personal data - business record,,False
pdp_pos_order__amount_return,pos.order,amount_return,internal,Not personal data - business record,,False
pdp_pos_order__amount_tax,pos.order,amount_tax,internal,Not personal data - business record,,False
pdp_pos_order__amount_total,pos.order,amount_total,internal,Not personal data - business record,,False
pdp_pos_order__company_id,pos.order,company_id,internal,Not personal data - business record,,False
pdp_pos_order__config_id,pos.order,config_id,internal,Not personal data - business record,,False
pdp_pos_order__create_date,pos.order,create_date,internal,Not personal data - business record,,False
pdp_pos_order__create_uid,pos.order,create_uid,internal,Not personal data - business record,,False
pdp_pos_order__crm_team_id,pos.order,crm_team_id,internal,Not personal data - business record,,False
pdp_pos_order__currency_rate,pos.order,currency_rate,internal,Not personal data - business record,,False
pdp_pos_order__date_order,pos.order,date_order,internal,Not personal data - business record,,False
pdp_pos_order__email,pos.order,email,personal,UU 27/2022 Art. 4(2) - data pribadi umum,Direct identifier of a natural person; hashed at load so joins survive.,False
pdp_pos_order__fiscal_position_id,pos.order,fiscal_position_id,internal,Not personal data - business record,,False
pdp_pos_order__floating_order_name,pos.order,floating_order_name,personal,UU 27/2022 Art. 4(2) - data pribadi umum,Direct identifier of a natural person; hashed at load so joins survive.,False
pdp_pos_order__general_customer_note,pos.order,general_customer_note,sensitive,UU 27/2022 Art. 4(3) - data pribadi spesifik,Free text - may contain any category of personal data; dropped to NULL at load.,True
pdp_pos_order__has_deleted_line,pos.order,has_deleted_line,internal,Not personal data - business record,,False
pdp_pos_order__id,pos.order,id,internal,Not personal data - business record,,False
pdp_pos_order__internal_note,pos.order,internal_note,sensitive,UU 27/2022 Art. 4(3) - data pribadi spesifik,Free text - may contain any category of personal data; dropped to NULL at load.,True
pdp_pos_order__is_refund,pos.order,is_refund,internal,Not personal data - business record,,False
pdp_pos_order__is_tipped,pos.order,is_tipped,internal,Not personal data - business record,,False
pdp_pos_order__last_order_preparation_change,pos.order,last_order_preparation_change,internal,Not personal data - business record,,False
pdp_pos_order__mobile,pos.order,mobile,personal,UU 27/2022 Art. 4(2) - data pribadi umum,Direct identifier of a natural person; hashed at load so joins survive.,False
pdp_pos_order__name,pos.order,name,internal,Not personal data - business record,,False
pdp_pos_order__nb_print,pos.order,nb_print,internal,Not personal data - business record,,False
pdp_pos_order__next_online_payment_amount,pos.order,next_online_payment_amount,internal,Not personal data - business record,,False
pdp_pos_order__operating_unit_id,pos.order,operating_unit_id,internal,Not personal data - business record,,False
pdp_pos_order__partner_id,pos.order,partner_id,internal,Not personal data - business record,,False
pdp_pos_order__pos_reference,pos.order,pos_reference,internal,Not personal data - business record,,False
pdp_pos_order__preset_id,pos.order,preset_id,internal,Not personal data - business record,,False
pdp_pos_order__preset_time,pos.order,preset_time,internal,Not personal data - business record,,False
pdp_pos_order__pricelist_id,pos.order,pricelist_id,internal,Not personal data - business record,,False
pdp_pos_order__ri_customer_phone,pos.order,ri_customer_phone,internal,Not personal data - business record,,False
pdp_pos_order__ri_member_id,pos.order,ri_member_id,internal,Not personal data - business record,,False
pdp_pos_order__ri_member_type,pos.order,ri_member_type,internal,Not personal data - business record,,False
pdp_pos_order__ri_omni_order_id,pos.order,ri_omni_order_id,internal,Not personal data - business record,,False
pdp_pos_order__ri_staff_id,pos.order,ri_staff_id,internal,Not personal data - business record,,False
pdp_pos_order__ri_staff_name,pos.order,ri_staff_name,internal,Not personal data - business record,,False
pdp_pos_order__ri_transaction_note,pos.order,ri_transaction_note,internal,Not personal data - business record,,False
pdp_pos_order__sale_journal,pos.order,sale_journal,internal,Not personal data - business record,,False
pdp_pos_order__sequence_number,pos.order,sequence_number,internal,Not personal data - business record,,False
pdp_pos_order__session_id,pos.order,session_id,internal,Not personal data - business record,,False
pdp_pos_order__shipping_date,pos.order,shipping_date,internal,Not personal data - business record,,False
pdp_pos_order__source,pos.order,source,internal,Not personal data - business record,,False
pdp_pos_order__state,pos.order,state,internal,Not personal data - business record,,False
pdp_pos_order__ticket_code,pos.order,ticket_code,secret,UU 27/2022 Art. 35 - kewajiban pelindungan; credential material,Credential or key material; never named in the extraction SELECT list.,False
pdp_pos_order__tip_amount,pos.order,tip_amount,internal,Not personal data - business record,,False
pdp_pos_order__to_invoice,pos.order,to_invoice,internal,Not personal data - business record,,False
pdp_pos_order__tracking_number,pos.order,tracking_number,internal,Not personal data - business record,,False
pdp_pos_order__user_id,pos.order,user_id,internal,Not personal data - business record,,False
pdp_pos_order__uuid,pos.order,uuid,internal,Not personal data - business record,,False
pdp_pos_order__write_date,pos.order,write_date,internal,Not personal data - business record,,False
pdp_pos_order__write_uid,pos.order,write_uid,internal,Not personal data - business record,,False
pdp_pos_order__x_eperformance_receipt_channel,pos.order,x_eperformance_receipt_channel,internal,Not personal data - business record,,False
pdp_pos_order__x_eperformance_receipt_sent,pos.order,x_eperformance_receipt_sent,internal,Not personal data - business record,,False
pdp_pos_order__x_idr_rounding_applied,pos.order,x_idr_rounding_applied,internal,Not personal data - business record,,False
pdp_pos_order__x_loyalty_credited,pos.order,x_loyalty_credited,internal,Not personal data - business record,,False
pdp_pos_order__x_loyalty_points_earned,pos.order,x_loyalty_points_earned,internal,Not personal data - business record,,False
pdp_pos_order_line__combo_item_id,pos.order.line,combo_item_id,internal,Not personal data - business record,,False
pdp_pos_order_line__combo_parent_id,pos.order.line,combo_parent_id,internal,Not personal data - business record,,False
pdp_pos_order_line__company_id,pos.order.line,company_id,internal,Not personal data - business record,,False
pdp_pos_order_line__create_date,pos.order.line,create_date,internal,Not personal data - business record,,False
pdp_pos_order_line__create_uid,pos.order.line,create_uid,internal,Not personal data - business record,,False
pdp_pos_order_line__customer_note,pos.order.line,customer_note,sensitive,UU 27/2022 Art. 4(3) - data pribadi spesifik,Free text - may contain any category of personal data; dropped to NULL at load.,True
pdp_pos_order_line__discount,pos.order.line,discount,internal,Not personal data - business record,,False
pdp_pos_order_line__down_payment_details,pos.order.line,down_payment_details,internal,Not personal data - business record,,False
pdp_pos_order_line__extra_tax_data,pos.order.line,extra_tax_data,internal,Not personal data - business record,,False
pdp_pos_order_line__full_product_name,pos.order.line,full_product_name,internal,Not personal data - business record,,False
pdp_pos_order_line__id,pos.order.line,id,internal,Not personal data - business record,,False
pdp_pos_order_line__is_edited,pos.order.line,is_edited,internal,Not personal data - business record,,False
pdp_pos_order_line__is_total_cost_computed,pos.order.line,is_total_cost_computed,internal,Not personal data - business record,,False
pdp_pos_order_line__name,pos.order.line,name,internal,Not personal data - business record,,False
pdp_pos_order_line__note,pos.order.line,note,sensitive,UU 27/2022 Art. 4(3) - data pribadi spesifik,Free text - may contain any category of personal data; dropped to NULL at load.,True
pdp_pos_order_line__notice,pos.order.line,notice,sensitive,UU 27/2022 Art. 4(3) - data pribadi spesifik,Free text - may contain any category of personal data; dropped to NULL at load.,True
pdp_pos_order_line__order_id,pos.order.line,order_id,internal,Not personal data - business record,,False
pdp_pos_order_line__price_extra,pos.order.line,price_extra,internal,Not personal data - business record,,False
pdp_pos_order_line__price_subtotal,pos.order.line,price_subtotal,internal,Not personal data - business record,,False
pdp_pos_order_line__price_subtotal_incl,pos.order.line,price_subtotal_incl,internal,Not personal data - business record,,False
pdp_pos_order_line__price_type,pos.order.line,price_type,internal,Not personal data - business record,,False
pdp_pos_order_line__price_unit,pos.order.line,price_unit,internal,Not personal data - business record,,False
pdp_pos_order_line__product_id,pos.order.line,product_id,internal,Not personal data - business record,,False
pdp_pos_order_line__qty,pos.order.line,qty,internal,Not personal data - business record,,False
